Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),SNR,Score,Tags,Notes
74,Spectrogram 1,10,1019.778076,1021.589306,62.43654822,217.7664975,6.082603,5.862293,,
75,Spectrogram 1,10,1033.547122,1034.803894,135.5329949,269.5431472,1.239442,0.40797,,
76,Spectrogram 1,10,1066.611315,1067.757195,77.66497462,232.9949239,1.032879,1.2003,,
77,Spectrogram 1,10,1073.856236,1075.297827,95.93908629,205.5837563,5.713602,5.766145,,
78,Spectrogram 1,10,1089.251693,1090.360609,86.80203046,220.8121827,1.132367,-0.776425,,
79,Spectrogram 1,10,1098.012133,1099.12105,71.57360406,226.9035533,0.801327,8.441849,,
80,Spectrogram 1,10,1099.675508,1101.301919,77.66497462,263.4517766,-1.444943,5.632062,,
81,Spectrogram 1,10,1108.010863,1109.156744,111.1675127,248.2233503,-0.638454,1.62105,,
82,Spectrogram 1,10,1113.148843,1114.405615,71.57360406,214.7208122,10.401256,11.450694,,
83,Spectrogram 1,10,1119.913234,1121.243933,83.75634518,223.857868,2.074939,1.883897,,
84,Spectrogram 1,10,1142.368792,1143.366817,126.3959391,257.3604061,3.053827,3.148758,,
85,Spectrogram 1,10,1186.244921,1187.242946,71.57360406,193.4010152,7.952962,8.246517,,
86,Spectrogram 1,10,1223.929599,1224.816733,98.98477157,232.9949239,3.688114,7.072229,,
87,Spectrogram 1,10,1242.577878,1243.945542,80.7106599,202.5380711,3.491183,3.226718,,
88,Spectrogram 1,10,1232.117099,1233.484763,62.43654822,159.8984772,3.65254,4.894181,,
89,Spectrogram 1,10,1261.115265,1262.445965,86.80203046,211.6751269,3.033796,2.860925,,
90,Spectrogram 1,10,1266.068426,1267.288234,86.80203046,196.4467005,4.70633,5.509731,,
91,Spectrogram 1,10,1309.722771,1311.127398,74.61928934,196.4467005,2.264983,2.646043,,
92,Spectrogram 1,10,1340.162528,1341.641084,53.29949239,254.3147208,4.474928,4.599488,,
93,Spectrogram 1,10,1325.0443,1326.411964,56.34517766,162.9441624,2.046211,2.32047,,
94,Spectrogram 1,10,1362.248448,1363.542184,123.3502538,239.0862944,3.52121,3.13124,,
95,Spectrogram 1,10,1368.310525,1369.419441,56.34517766,229.9492386,14.208053,14.704326,,
96,Spectrogram 1,10,1373.337613,1374.483493,65.4822335,223.857868,16.914787,16.568905,,
97,Spectrogram 1,10,1397.937077,1399.193849,77.66497462,251.2690355,17.229581,16.575143,,
98,Spectrogram 1,10,1443.365688,1444.474605,105.0761421,205.5837563,2.426429,2.622235,,
99,Spectrogram 1,10,1446.174944,1447.209932,102.0304569,226.9035533,1.597485,2.0406,,
100,Spectrogram 1,10,1453.992805,1455.323505,62.43654822,193.4010152,2.869396,2.561509,,
101,Spectrogram 1,10,1515.888826,1517.293454,98.98477157,248.2233503,3.522968,3.950873,,
102,Spectrogram 1,10,1525.35158,1526.571388,77.66497462,187.3096447,3.529805,3.854462,,
103,Spectrogram 1,10,1547.844103,1549.322658,62.43654822,190.3553299,11.960858,11.578666,,
104,Spectrogram 1,10,1567.361033,1568.469949,83.75634518,223.857868,3.964593,4.267512,,
105,Spectrogram 1,10,1586.305023,1587.192156,120.3045685,275.6345178,7.039946,7.20254,,
106,Spectrogram 1,10,1593.882619,1595.139391,83.75634518,242.1319797,2.623226,3.293334,,
107,Spectrogram 1,10,1612.124295,1613.307139,86.80203046,217.7664975,4.208018,5.873301,,
109,Spectrogram 1,10,1645.613572,1646.870344,53.29949239,184.2639594,9.416259,8.949193,,
110,Spectrogram 1,10,1696.106236,1697.436936,38.07106599,236.0406091,7.061929,7.826173,,
111,Spectrogram 1,10,1721.814616,1723.699774,92.89340102,260.4060914,3.19778,3.269858,,
112,Spectrogram 1,10,1735.380361,1736.932844,50.25380711,278.680203,2.991549,2.644508,,
113,Spectrogram 1,10,1741.534848,1743.161258,153.8071066,303.0456853,4.125637,5.161868,,
114,Spectrogram 1,10,1764.452455,1765.857082,74.61928934,239.0862944,3.367845,7.0834,,
115,Spectrogram 1,10,1797.35031,1798.754938,117.2588832,236.0406091,3.694763,3.906813,,
116,Spectrogram 1,10,1806.96092,1808.180728,50.25380711,220.8121827,13.211014,13.697753,,
117,Spectrogram 1,10,1822.910835,1824.389391,56.34517766,202.5380711,8.649559,9.599852,,
118,Spectrogram 1,10,1837.71487,1839.415209,25.88832487,300,9.934863,9.551864,,
119,Spectrogram 1,10,1840.893764,1842.224464,80.7106599,214.7208122,8.486543,7.665929,,
120,Spectrogram 1,10,1866.676072,1868.043736,68.52791878,181.2182741,6.660447,6.863214,,
121,Spectrogram 1,10,1885.564616,1886.93228,47.20812183,211.6751269,6.729934,7.882978,,
122,Spectrogram 1,10,1958.549802,1960.102286,53.29949239,223.857868,2.686812,3.199566,,
123,Spectrogram 1,10,2021.332957,2022.257054,114.213198,223.857868,6.554918,7.898716,,
124,Spectrogram 1,10,2024.844526,2025.731659,80.7106599,251.2690355,3.642463,5.182145,,
125,Spectrogram 1,10,2041.16408,2042.864419,80.7106599,339.5939086,4.372901,3.834617,,
126,Spectrogram 1,10,2045.562782,2046.708663,80.7106599,229.9492386,8.232937,8.77801,,
127,Spectrogram 1,10,2048.076326,2049.333098,108.1218274,257.3604061,6.882566,7.458986,,
128,Spectrogram 1,10,2050.700762,2051.994498,83.75634518,257.3604061,7.486819,7.214322,,
129,Spectrogram 1,10,2063.619639,2064.654628,111.1675127,242.1319797,-1.830981,8.696463,,
130,Spectrogram 1,10,2135.237161,2136.641789,62.43654822,229.9492386,9.005498,8.842536,,
131,Spectrogram 1,10,2138.194272,2139.340152,80.7106599,229.9492386,7.836241,8.079649,,
132,Spectrogram 1,10,2158.8386,2159.873589,117.2588832,239.0862944,5.520805,5.988129,,
133,Spectrogram 1,10,2216.058691,2217.352427,68.52791878,226.9035533,5.546877,5.697098,,
134,Spectrogram 1,10,2259.676072,2260.89588,74.61928934,214.7208122,1.283359,2.801302,,
135,Spectrogram 1,10,2271.023984,2272.243792,86.80203046,236.0406091,8.188573,8.675454,,
136,Spectrogram 1,10,2295.290773,2296.39969,71.57360406,165.9898477,4.160514,3.891929,,
137,Spectrogram 1,10,2353.860045,2355.597348,68.52791878,229.9492386,1.654223,1.734045,,
138,Spectrogram 1,10,2386.776383,2387.959227,89.84771574,232.9949239,8.74916,8.625598,,
139,Spectrogram 1,10,2415.737585,2416.735609,83.75634518,184.2639594,2.468401,0.904587,,
140,Spectrogram 1,10,2432.685525,2434.496755,80.7106599,196.4467005,7.24824,7.477372,,
141,Spectrogram 1,10,2472.329289,2473.549097,86.80203046,226.9035533,6.28599,6.897538,,
142,Spectrogram 1,10,2477.689052,2479.019752,68.52791878,266.4974619,5.359379,4.876517,,
143,Spectrogram 1,10,2473.789362,2474.787387,108.1218274,263.4517766,-3.898028,1.314729,,
144,Spectrogram 1,10,2594.254656,2595.770175,62.43654822,205.5837563,6.576206,8.527287,,
145,Spectrogram 1,10,2601.314757,2603.273843,74.61928934,245.177665,6.936254,6.505002,,?
146,Spectrogram 1,10,2644.451608,2645.967128,59.39086294,193.4010152,1.491489,1.161099,,
147,Spectrogram 1,10,2650.051637,2650.975734,86.80203046,232.9949239,3.37323,4.068915,,
148,Spectrogram 1,10,2756.174944,2757.616535,95.93908629,217.7664975,-0.634447,-0.430208,,
149,Spectrogram 1,10,2814.540914,2815.649831,80.7106599,211.6751269,2.151878,1.967641,,
150,Spectrogram 1,10,2851.800508,2853.242099,98.98477157,242.1319797,7.669129,6.166759,,?
151,Spectrogram 1,10,2987.846078,2989.139814,86.80203046,272.5888325,3.213195,3.038693,,
152,Spectrogram 1,10,3026.658155,3027.988854,89.84771574,217.7664975,3.182247,6.681271,,
153,Spectrogram 1,10,3112.248025,3113.06123,105.0761421,239.0862944,3.276666,6.181794,,
154,Spectrogram 1,10,3122.061936,3123.651383,135.5329949,284.7715736,3.028152,3.885519,,
155,Spectrogram 1,10,3146.106941,3147.400677,77.66497462,263.4517766,5.239145,4.56083,,
156,Spectrogram 1,10,3163.738713,3165.143341,98.98477157,287.8172589,4.573206,3.928794,,
157,Spectrogram 1,10,3183.643764,3184.9375,80.7106599,284.7715736,2.249582,2.662527,,
158,Spectrogram 1,10,3189.613431,3190.870203,53.29949239,236.0406091,3.016523,2.458566,,
159,Spectrogram 1,10,3302.907731,3304.681998,59.39086294,181.2182741,4.1704,5.862131,,
160,Spectrogram 1,10,3369.017635,3370.717974,65.4822335,214.7208122,4.55653,5.303663,,
161,Spectrogram 1,10,3371.789927,3373.15759,47.20812183,141.6243655,-0.816523,0.708202,,
162,Spectrogram 1,10,3402.85807,3404.373589,98.98477157,266.4974619,2.810343,3.412514,,
163,Spectrogram 1,10,3436.513685,3437.437782,102.0304569,220.8121827,9.008157,9.017965,,
164,Spectrogram 1,10,3471.740265,3472.923109,86.80203046,220.8121827,5.216141,6.120945,,
165,Spectrogram 1,10,3476.878245,3478.024125,102.0304569,184.2639594,7.650225,8.302684,,
166,Spectrogram 1,10,3516.503527,3517.538516,92.89340102,202.5380711,7.894148,8.388102,,
167,Spectrogram 1,10,3519.978132,3520.828301,80.7106599,205.5837563,6.59915,6.603935,,
168,Spectrogram 1,10,3523.415773,3524.33987,89.84771574,220.8121827,4.957209,5.206088,,
169,Spectrogram 1,10,3532.065322,3533.063347,53.29949239,184.2639594,4.791629,5.097648,,
170,Spectrogram 1,10,3546.943284,3548.126129,74.61928934,220.8121827,11.213661,11.681764,,
171,Spectrogram 1,10,3548.939334,3550.048251,62.43654822,178.1725888,0.530744,6.263732,,
172,Spectrogram 1,10,3576.828584,3577.974464,68.52791878,181.2182741,3.382507,3.998866,,
173,Spectrogram 1,10,3583.186371,3584.369216,71.57360406,205.5837563,1.483884,2.175323,,
174,Spectrogram 1,10,3606.602991,3607.933691,86.80203046,226.9035533,4.156886,3.783544,,
175,Spectrogram 1,10,3612.49873,3613.755502,62.43654822,193.4010152,4.541661,5.344852,,
176,Spectrogram 1,10,3654.914786,3656.023702,98.98477157,205.5837563,3.120958,7.052417,,
177,Spectrogram 1,10,3652.789362,3653.898279,53.29949239,178.1725888,4.046533,4.067665,,?
178,Spectrogram 1,10,3691.915632,3693.615971,86.63793103,249.5689655,4.851575,5.208389,,
179,Spectrogram 1,10,3694.835779,3696.055587,99.56896552,231.4655172,-2.318304,3.143927,,
180,Spectrogram 1,10,3706.904486,3708.309114,73.70689655,272.8448276,0.926441,0.718599,,
181,Spectrogram 1,10,3727.9739,3729.378527,84.05172414,246.9827586,3.709748,5.092326,,
182,Spectrogram 1,10,3770.63022,3772.330559,73.70689655,213.362069,2.07486,2.770063,,
183,Spectrogram 1,10,3786.210497,3788.169582,104.7413793,293.5344828,3.97515,3.554961,,
184,Spectrogram 1,10,3790.165632,3791.163657,53.01724138,218.5344828,2.484714,2.169189,,
185,Spectrogram 1,10,3806.485186,3808.222489,91.81034483,223.7068966,4.322931,5.854729,,
186,Spectrogram 1,10,3838.070824,3839.660271,81.46551724,215.9482759,4.362707,4.347235,,
187,Spectrogram 1,10,3857.310525,3858.345514,71.12068966,190.0862069,6.455838,5.486784,,
188,Spectrogram 1,10,3877.677624,3878.786541,73.70689655,280.6034483,5.529551,9.80954,,
189,Spectrogram 1,10,3882.834086,3884.01693,78.87931034,187.5,6.612412,6.300576,,
190,Spectrogram 1,10,3898.728555,3900.318002,94.39655172,228.8793103,2.115129,5.878913,,
191,Spectrogram 1,10,3900.373448,3901.445401,122.8448276,221.1206897,0.681918,5.685351,,
192,Spectrogram 1,10,3920.999295,3922.551778,96.98275862,190.0862069,3.607234,2.888631,,
193,Spectrogram 1,10,3925.250141,3926.506913,86.63793103,203.0172414,4.549079,6.554916,,
194,Spectrogram 1,10,3941.754515,3942.974323,99.56896552,231.4655172,0.291322,1.44029,,
195,Spectrogram 1,10,4025.126552,4026.900818,47.84482759,246.9827586,4.778263,5.520491,,
196,Spectrogram 1,10,4002.652511,4004.094103,99.56896552,221.1206897,1.086392,0.738769,,
197,Spectrogram 1,10,4033.129233,4033.942438,130.6034483,208.1896552,3.10976,5.981764,,
198,Spectrogram 1,10,4034.570824,4035.901524,86.63793103,205.6034483,1.757837,5.29142,,
199,Spectrogram 1,10,4051.075198,4052.479825,84.05172414,218.5344828,3.136036,3.519001,,
200,Spectrogram 1,10,4056.841563,4058.098335,78.87931034,205.6034483,0.319506,4.874109,,
201,Spectrogram 1,10,4058.578866,4060.131349,94.39655172,241.8103448,4.715589,8.409018,,
202,Spectrogram 1,10,4077.116253,4078.262133,99.56896552,205.6034483,7.611636,7.27507,,
203,Spectrogram 1,10,4086.468115,4087.724887,73.70689655,195.2586207,2.162962,6.394698,,
204,Spectrogram 1,10,4088.168454,4089.314334,104.7413793,192.6724138,1.652879,5.561408,,
205,Spectrogram 1,10,4094.858916,4096.115688,50.43103448,171.9827586,4.44219,4.772507,,
206,Spectrogram 1,10,4115.429317,4116.796981,115.0862069,244.3965517,4.055502,3.249317,,
207,Spectrogram 1,10,4126.315181,4127.719808,84.05172414,213.362069,3.472026,2.847265,,
208,Spectrogram 1,10,4132.672968,4133.486174,86.63793103,226.2931034,7.761471,6.611285,,
209,Spectrogram 1,10,4135.075621,4136.295429,68.53448276,179.7413793,4.331338,4.751825,,
210,Spectrogram 1,10,4137.441309,4138.735045,91.81034483,190.0862069,3.220263,2.860068,,
211,Spectrogram 1,10,4147.606377,4148.826185,73.70689655,213.362069,4.115019,5.159969,,
212,Spectrogram 1,10,4170.838177,4171.836202,102.1551724,200.4310345,1.820491,4.268832,,
213,Spectrogram 1,10,4171.836202,4172.834227,89.22413793,228.8793103,3.589762,4.80384,,
214,Spectrogram 1,10,4179.025677,4180.060666,122.8448276,252.1551724,3.717383,6.758781,,
215,Spectrogram 1,10,4203.920852,4204.918877,112.5,203.0172414,6.529143,7.088574,,
216,Spectrogram 1,10,4225.748025,4226.856941,81.46551724,195.2586207,4.880815,5.103761,,
217,Spectrogram 1,10,4227.818002,4229.22263,55.60344828,166.8103448,1.544781,4.840244,,
218,Spectrogram 1,10,4254.783155,4256.779204,84.05172414,203.0172414,5.523644,5.479048,,
219,Spectrogram 1,10,4266.500705,4268.330418,91.81034483,203.0172414,-0.341403,2.034284,,?
220,Spectrogram 1,10,4278.82816,4280.15886,102.1551724,223.7068966,2.550985,3.568006,,?
221,Spectrogram 1,10,4347.377681,4349.188911,60.77586207,226.2931034,2.660145,6.162013,,
222,Spectrogram 1,10,4359.686653,4361.386992,120.2586207,290.9482759,7.236181,7.001555,,
223,Spectrogram 1,10,4408.700762,4409.698787,99.56896552,231.4655172,5.581534,6.964906,,
224,Spectrogram 1,10,4463.222489,4464.442297,58.18965517,205.6034483,7.997999,10.406686,,
225,Spectrogram 1,10,4467.362444,4468.877963,102.1551724,246.9827586,4.232453,7.129106,,
226,Spectrogram 1,10,4470.264108,4471.594808,76.29310345,203.0172414,5.981255,6.351078,,
227,Spectrogram 1,10,4472.481941,4473.960497,50.43103448,179.7413793,7.623135,7.278357,,
228,Spectrogram 1,10,4534.396445,4535.838036,89.22413793,231.4655172,9.326944,9.309612,,
229,Spectrogram 1,10,4537.538375,4538.832111,99.56896552,231.4655172,8.043766,7.680622,,
230,Spectrogram 1,10,4540.199774,4541.419582,86.63793103,208.1896552,6.525511,6.000344,,
231,Spectrogram 1,10,4643.717128,4645.010863,102.1551724,231.4655172,12.975026,13.266961,,
232,Spectrogram 1,10,4713.652793,4714.909565,58.18965517,246.9827586,9.350277,9.874458,,
233,Spectrogram 1,10,4695.281744,4696.168877,68.53448276,177.1551724,1.518606,7.29785,,
234,Spectrogram 1,10,4804.25127,4805.508042,76.29310345,228.8793103,6.574704,7.295681,,
235,Spectrogram 1,10,4931.573363,4932.756208,94.39655172,221.1206897,5.245461,5.965731,,
236,Spectrogram 1,10,5006.757901,5008.125564,76.29310345,228.8793103,4.744204,7.327618,,
237,Spectrogram 1,10,5115.172968,5116.873307,84.05172414,197.8448276,11.454225,11.618407,,
238,Spectrogram 1,10,5169.029345,5170.360045,107.3275862,221.1206897,2.666209,3.580563,,
239,Spectrogram 1,10,5575.798392,5577.646586,71.12068966,184.9137931,11.357577,10.724867,,
240,Spectrogram 1,10,5748.438205,5749.694977,63.36206897,190.0862069,7.026276,7.34716,,
241,Spectrogram 1,10,5819.760017,5821.238572,78.87931034,195.2586207,-0.681492,0.690145,,
242,Spectrogram 1,10,5870.067861,5871.287669,81.46551724,208.1896552,4.213448,4.350043,,?
243,Spectrogram 1,10,5874.207816,5875.168877,76.29310345,161.637931,4.786217,5.605069,,?
244,Spectrogram 1,10,5902.577596,5903.686512,93.10344828,204.3103448,3.302503,3.626748,,
245,Spectrogram 1,10,5972.199069,5973.197094,76.29310345,169.3965517,4.673014,3.920606,,
246,Spectrogram 1,10,6077.435243,6078.618087,76.29310345,187.5,1.912015,1.450799,,
247,Spectrogram 1,10,6144.210497,6145.615124,84.05172414,190.0862069,3.565605,6.247901,,?
248,Spectrogram 1,10,6214.236751,6215.683535,94.80519481,245.4545455,12.611937,12.163334,,
249,Spectrogram 1,10,6318.809396,6320.620626,63.36206897,275.4310345,7.479464,8.954468,,
250,Spectrogram 1,10,6398.33719,6400.000564,109.9137931,241.8103448,4.018817,3.706579,,
251,Spectrogram 1,10,6572.196812,6573.490547,78.87931034,200.4310345,6.36207,6.13806,,
252,Spectrogram 1,10,6751.711907,6753.634029,60.77586207,236.637931,11.19975,11.036379,,
253,Spectrogram 1,10,6770.840717,6772.060525,65.94827586,174.5689655,0.655137,1.978022,,
254,Spectrogram 1,10,6798.027652,6799.691027,45.25862069,205.6034483,3.99748,3.357935,,
255,Spectrogram 1,10,6926.440181,6927.696953,81.46551724,197.8448276,1.317305,1.455048,,
256,Spectrogram 1,10,6966.120909,6967.08197,91.81034483,208.1896552,4.78807,5.059978,,
257,Spectrogram 1,10,6974.493228,6975.565181,68.53448276,174.5689655,2.728583,2.493515,,
258,Spectrogram 1,10,6980.666196,6982.144752,78.87931034,203.0172414,5.532892,5.664142,,
259,Spectrogram 1,10,6984.621332,6986.284707,73.70689655,169.3965517,1.432888,0.680512,,
260,Spectrogram 1,10,7017.648561,7018.905333,68.53448276,182.3275862,4.76026,10.383731,,
261,Spectrogram 1,10,7035.816309,7036.814334,78.87931034,169.3965517,8.015953,8.017737,,
262,Spectrogram 1,10,7057.754374,7059.232929,89.22413793,228.8793103,8.573229,9.578233,,
263,Spectrogram 1,10,7062.67057,7063.890378,63.36206897,164.2241379,3.215845,6.513533,,
264,Spectrogram 1,10,7099.634453,7100.817297,94.39655172,213.362069,5.646912,6.964868,,
265,Spectrogram 1,10,7106.250988,7107.396868,84.05172414,208.1896552,9.343461,8.528557,,
266,Spectrogram 1,10,7148.83338,7149.979261,78.87931034,231.4655172,3.645773,3.790785,,
267,Spectrogram 1,10,7162.620909,7163.618933,65.94827586,187.5,7.4873,8.048665,,
268,Spectrogram 1,10,7198.401947,7199.28908,84.05172414,223.7068966,5.000619,5.502119,,
269,Spectrogram 1,10,7205.535976,7206.718821,76.29310345,213.362069,3.721876,3.916211,,
270,Spectrogram 1,10,7217.216563,7218.769046,109.9137931,288.362069,2.362211,2.361023,,
271,Spectrogram 1,10,7225.145316,7226.143341,65.94827586,195.2586207,2.658581,7.157787,,
272,Spectrogram 1,10,7226.217269,7227.067438,102.1551724,184.9137931,2.07335,7.32097,,
273,Spectrogram 1,10,7227.880643,7229.063488,86.63793103,215.9482759,3.359842,5.934465,,
274,Spectrogram 1,10,7232.390237,7233.94272,130.6034483,215.9482759,0.829419,0.416573,,
275,Spectrogram 1,10,7247.563911,7249.005502,84.05172414,221.1206897,2.074398,1.838141,,
276,Spectrogram 1,10,7260.9818,7262.201608,89.22413793,200.4310345,6.901515,6.4657,,
277,Spectrogram 1,10,7267.376552,7268.522432,91.81034483,203.0172414,1.586149,1.764942,,
278,Spectrogram 1,10,7305.116676,7306.336484,73.70689655,221.1206897,13.493453,13.774269,,
279,Spectrogram 1,10,7337.589447,7338.47658,63.36206897,221.1206897,5.380496,7.904355,,
280,Spectrogram 1,10,7346.072658,7347.514249,102.1551724,283.1896552,7.212863,7.447097,,
281,Spectrogram 1,10,7351.358493,7352.208663,120.2586207,228.8793103,2.37519,5.246547,,
282,Spectrogram 1,10,7357.864137,7359.046981,89.22413793,228.8793103,1.111999,1.785688,,
283,Spectrogram 1,10,7361.523561,7363.03908,84.05172414,213.362069,8.894681,8.58766,,
284,Spectrogram 1,10,7388.562641,7389.782449,78.87931034,215.9482759,2.11231,3.187768,,
