Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz)
91,Spectrogram 1,10,7402.027881,7403.469473,79.94923858,229.6954315
92,Spectrogram 1,10,7412.155985,7413.708468,52.03045685,209.3908629
93,Spectrogram 1,10,7423.134258,7424.649777,82.48730964,280.4568528
94,Spectrogram 1,10,7454.553558,7455.736403,100.2538071,227.1573604
95,Spectrogram 1,10,7458.989224,7460.652599,54.56852792,229.6954315
97,Spectrogram 1,10,7462.09419,7463.166143,69.79695431,224.6192893
98,Spectrogram 1,10,7485.732593,7487.137221,67.25888325,171.319797
99,Spectrogram 1,10,7494.345178,7495.749806,87.56345178,244.9238579
100,Spectrogram 1,10,7519.055534,7520.275342,87.56345178,232.2335025
101,Spectrogram 1,10,7527.20607,7528.721589,64.72081218,237.3096447
102,Spectrogram 1,10,7642.385528,7643.531408,82.48730964,199.2385787
103,Spectrogram 1,10,7630.963688,7632.368316,69.79695431,145.9390863
104,Spectrogram 1,10,7656.930816,7657.965804,82.48730964,163.7055838
105,Spectrogram 1,10,7674.026611,7675.468203,79.94923858,234.7715736
106,Spectrogram 1,10,7732.170799,7733.501499,90.10152284,252.5380711
107,Spectrogram 1,10,7759.653446,7761.132001,57.10659898,206.8527919
108,Spectrogram 1,10,7804.305816,7805.414732,64.72081218,176.3959391
109,Spectrogram 1,10,7838.257142,7839.292131,77.41116751,211.928934
110,Spectrogram 1,10,7852.580646,7854.022238,72.33502538,196.7005076
111,Spectrogram 1,10,7898.748536,7900.374947,72.33502538,199.2385787
112,Spectrogram 1,10,7904.958468,7906.067385,52.03045685,201.7766497
113,Spectrogram 1,10,7935.767864,7936.987672,72.33502538,201.7766497
114,Spectrogram 1,10,7944.472859,7945.840522,72.33502538,211.928934
115,Spectrogram 1,10,7979.976668,7981.307368,52.03045685,219.5431472
116,Spectrogram 1,10,8002.65401,8004.354348,59.64467005,176.3959391
117,Spectrogram 1,10,8015.184766,8016.848141,67.25888325,201.7766497
118,Spectrogram 1,10,8017.458045,8018.825709,69.79695431,161.1675127
119,Spectrogram 1,10,8028.805957,8030.469332,79.94923858,204.3147208
120,Spectrogram 1,10,8047.860838,8049.006719,67.25888325,199.2385787
121,Spectrogram 1,10,8058.469473,8059.652317,64.72081218,222.0812183
122,Spectrogram 1,10,8061.2048,8062.239789,82.48730964,229.6954315
123,Spectrogram 1,10,8104.193795,8105.598423,79.94923858,260.1522843
124,Spectrogram 1,10,8126.353643,8127.721307,79.94923858,201.7766497
125,Spectrogram 1,10,8132.267864,8133.413745,74.87309645,227.1573604
126,Spectrogram 1,10,8135.964253,8136.88835,87.56345178,184.0101523
127,Spectrogram 1,10,8179.914309,8181.281973,69.79695431,173.857868
128,Spectrogram 1,10,8195.457622,8196.640466,64.72081218,224.6192893
129,Spectrogram 1,10,8245.691538,8247.170093,67.25888325,186.5482234
130,Spectrogram 1,10,8260.551019,8261.807791,74.87309645,227.1573604
131,Spectrogram 1,10,8318.787616,8320.303135,107.8680203,232.2335025
132,Spectrogram 1,10,8326.069501,8327.474128,97.71573604,244.9238579
133,Spectrogram 1,10,8340.429969,8341.723705,69.79695431,184.0101523
134,Spectrogram 1,10,8347.600962,8349.00559,67.25888325,237.3096447
135,Spectrogram 1,10,8373.605054,8374.89879,72.33502538,166.2436548
136,Spectrogram 1,10,8392.881719,8393.916707,69.79695431,206.8527919
137,Spectrogram 1,10,8417.296363,8418.516171,87.56345178,214.4670051
138,Spectrogram 1,10,8423.986826,8425.058778,77.41116751,204.3147208
139,Spectrogram 1,10,8472.187729,8473.518429,79.94923858,237.3096447
140,Spectrogram 1,10,8466.458327,8467.715099,92.63959391,189.0862944
141,Spectrogram 1,10,8535.525342,8536.708186,79.94923858,191.6243655
142,Spectrogram 1,10,8543.620432,8544.951132,87.56345178,196.7005076
143,Spectrogram 1,10,8558.239648,8559.49642,74.87309645,178.9340102
144,Spectrogram 1,10,8590.194924,8591.377768,85.02538071,204.3147208
145,Spectrogram 1,10,8598.770545,8599.879461,85.02538071,178.9340102
146,Spectrogram 1,10,8608.732311,8610.063011,64.72081218,219.5431472
147,Spectrogram 1,10,8678.483158,8679.702966,85.02538071,201.7766497
148,Spectrogram 1,10,8681.421786,8682.161064,85.02538071,217.0050761
149,Spectrogram 1,10,8730.731606,8732.099269,67.25888325,178.9340102
150,Spectrogram 1,10,8756.772661,8758.177289,74.87309645,191.6243655
151,Spectrogram 1,10,8736.20226,8737.237249,79.94923858,181.4720812
152,Spectrogram 1,10,8807.634964,8808.854772,102.7918782,211.928934
153,Spectrogram 1,10,8844.506437,8845.689281,69.79695431,178.9340102
154,Spectrogram 1,10,8855.059625,8856.501216,79.94923858,214.4670051
155,Spectrogram 1,10,8866.851104,8867.886092,49.49238579,214.4670051
156,Spectrogram 1,10,8873.57853,8874.872266,69.79695431,201.7766497
157,Spectrogram 1,10,8887.051865,8888.012926,72.33502538,217.0050761
158,Spectrogram 1,10,8897.327825,8898.658525,90.10152284,252.5380711
159,Spectrogram 1,10,8967.318937,8968.427853,97.71573604,222.0812183
160,Spectrogram 1,10,8971.717639,8972.604772,72.33502538,217.0050761
161,Spectrogram 1,10,8990.218062,8991.733581,64.72081218,265.2284264
162,Spectrogram 1,10,9018.366058,9019.80765,62.18274112,237.3096447
163,Spectrogram 1,10,9049.156973,9050.74642,87.56345178,290.6091371
164,Spectrogram 1,10,9097.413321,9098.780985,57.10659898,277.9187817
165,Spectrogram 1,10,9079.005308,9080.07726,72.33502538,199.2385787
166,Spectrogram 1,10,9118.701398,9119.942808,75,247.4619289
167,Spectrogram 1,10,9129.109,9130.133,89.84375,193.47255
168,Spectrogram 1,10,9157.75686,9158.643993,105.3299492,247.4619289
169,Spectrogram 1,10,9160.418259,9161.748959,64.72081218,252.5380711
170,Spectrogram 1,10,9238.578389,9239.872125,64.72081218,161.1675127
171,Spectrogram 1,10,9463.448169,9464.741905,79.94923858,267.7664975
172,Spectrogram 1,10,9489.600116,9491.041707,59.64467005,219.5431472
173,Spectrogram 1,10,9578.165579,9579.60717,85.02538071,219.5431472
174,Spectrogram 1,10,9644.682085,9646.567244,59.64467005,199.2385787
175,Spectrogram 1,10,9696.172774,9697.799185,62.18274112,178.9340102
176,Spectrogram 1,10,9706.966228,9708.666566,69.79695431,171.319797
177,Spectrogram 1,10,9718.517441,9719.885105,97.71573604,184.0101523
178,Spectrogram 1,10,9721.659371,9723.544529,82.48730964,211.928934
179,Spectrogram 1,10,9753.54072,9754.723564,67.25888325,196.7005076
180,Spectrogram 1,10,9746.628474,9748.328812,95.17766497,191.6243655
181,Spectrogram 1,10,9801.704659,9803.441961,64.72081218,194.1624365
183,Spectrogram 1,10,9854.119444,9855.708891,79.94923858,171.319797
184,Spectrogram 1,10,9868.332057,9869.367046,87.56345178,222.0812183
185,Spectrogram 1,10,9880.345319,9881.343344,64.72081218,242.3857868
186,Spectrogram 1,10,9898.623959,9899.769839,90.10152284,201.7766497
187,Spectrogram 1,10,9901.58107,9902.468203,79.94923858,163.7055838
188,Spectrogram 1,10,9903.651047,9905.092639,74.87309645,158.6294416
189,Spectrogram 1,10,9915.719755,9917.752768,105.3299492,196.7005076
190,Spectrogram 1,10,9919.120432,9920.044529,110.4060914,214.4670051
191,Spectrogram 1,10,9927.548197,9928.878897,85.02538071,194.1624365
192,Spectrogram 1,10,9931.540297,9932.686177,102.7918782,272.8426396
193,Spectrogram 1,10,9992.438293,9993.916848,57.10659898,234.7715736
194,Spectrogram 1,10,9982.827684,9984.084456,31.72588832,204.3147208
195,Spectrogram 1,10,9995.201343,9996.328742,87.56345178,227.1573604
197,Spectrogram 1,10,10137.21658,10138.08523,72.33502538,222.0812183
198,Spectrogram 1,10,10101.95304,10103.15436,57.10659898,168.7817259
199,Spectrogram 1,10,10236.67715,10237.73062,62.18274112,206.8527919
200,Spectrogram 1,10,10424.79853,10425.9629,46.95431472,237.3096447
201,Spectrogram 1,10,10421.54571,10422.50677,90.10152284,161.1675127
202,Spectrogram 1,10,10442.92932,10444.09368,87.56345178,184.0101523
203,Spectrogram 1,10,10448.56631,10449.97094,57.10659898,232.2335025
204,Spectrogram 1,10,10452.83564,10454.2033,74.87309645,242.3857868
205,Spectrogram 1,10,10465.43108,10466.35518,69.79695431,219.5431472
206,Spectrogram 1,10,10470.26411,10471.44695,59.64467005,222.0812183
207,Spectrogram 1,10,10484.70775,10485.87211,85.02538071,206.8527919
208,Spectrogram 1,10,10489.47609,10490.76982,67.25888325,176.3959391
209,Spectrogram 1,10,10498.04247,10499.04049,69.79695431,173.857868
210,Spectrogram 1,10,10512.89271,10514.27885,34.26395939,191.6243655
211,Spectrogram 1,10,10518.76072,10519.42607,123.0964467,201.7766497
212,Spectrogram 1,10,10536.36477,10537.21494,77.41116751,201.7766497
213,Spectrogram 1,10,10571.34185,10572.39532,59.64467005,214.4670051
214,Spectrogram 1,10,10585.12013,10586.1736,54.56852792,224.6192893
215,Spectrogram 1,10,10579.98215,10581.19272,46.95431472,232.2335025
216,Spectrogram 1,10,10706.9993,10708.28548,67.25888325,191.6243655
217,Spectrogram 1,10,10745.4787,10746.84636,74.87309645,250
219,Spectrogram 1,10,10819.20316,10820.57083,97.71573604,257.6142132
220,Spectrogram 1,10,10883.55728,10884.96191,92.63959391,219.5431472
221,Spectrogram 1,10,10931.64729,10933.93905,64.72081218,184.0101523
223,Spectrogram 1,10,10987.20401,10988.34989,79.94923858,181.4720812
224,Spectrogram 1,10,10996.87006,10997.94202,77.41116751,178.9340102
225,Spectrogram 1,10,11093.90026,11094.93524,105.3299492,267.7664975
226,Spectrogram 1,10,11270.27342,11271.49323,74.87309645,209.3908629
227,Spectrogram 1,10,11273.74803,11275.33747,85.02538071,173.857868
228,Spectrogram 1,10,11314.07562,11316.1456,54.56852792,184.0101523
229,Spectrogram 1,10,11505.30827,11506.30629,105.3299492,257.6142132
230,Spectrogram 1,10,11667.89391,11669.26157,92.63959391,163.7055838
231,Spectrogram 1,10,11672.99492,11674.54741,110.4060914,161.1675127
232,Spectrogram 1,10,11695.37655,11696.59636,92.63959391,186.5482234
233,Spectrogram 1,10,11701.06899,11702.25184,72.33502538,214.4670051
234,Spectrogram 1,10,11752.07915,11753.6686,72.33502538,201.7766497
235,Spectrogram 1,10,11776.10567,11777.21459,77.41116751,227.1573604
236,Spectrogram 1,10,11799.91041,11801.352,95.17766497,275.3807107
237,Spectrogram 1,10,11820.99831,11821.92241,82.48730964,171.319797
238,Spectrogram 1,10,11804.66027,11805.84312,85.02538071,194.1624365
239,Spectrogram 1,10,11871.67579,11873.45006,82.48730964,242.3857868
240,Spectrogram 1,10,11885.77751,11887.07125,90.10152284,234.7715736
241,Spectrogram 1,10,11901.57,11902.594,89.84375,193.47255
242,Spectrogram 1,10,11945.49266,11946.67551,57.10659898,151.0152284
243,Spectrogram 1,10,11948.37585,11949.18905,105.3299492,161.1675127
244,Spectrogram 1,10,12031.48914,12032.93073,46.95431472,143.4010152
245,Spectrogram 1,10,12126.00579,12127.70612,69.79695431,189.0862944
246,Spectrogram 1,10,12352.09537,12353.35215,77.41116751,181.4720812
247,Spectrogram 1,10,12370.00437,12371.18722,102.7918782,181.4720812
248,Spectrogram 1,10,12380.24337,12381.50014,97.71573604,196.7005076
249,Spectrogram 1,10,12385.97277,12387.19258,74.87309645,186.5482234
250,Spectrogram 1,10,12423.3987,12424.76637,82.48730964,209.3908629
251,Spectrogram 1,10,12417.18877,12419.14786,85.02538071,211.928934
252,Spectrogram 1,10,12548.41055,12549.88911,90.10152284,206.8527919
253,Spectrogram 1,10,12743.72771,12745.13234,85.02538071,247.4619289
254,Spectrogram 1,10,12747.49803,12749.23533,69.79695431,219.5431472
256,Spectrogram 1,10,12796.10553,12797.43623,100.2538071,250
257,Spectrogram 1,10,12818.22842,12820.11357,85.02538071,288.071066
258,Spectrogram 1,10,12882.19441,12883.41422,81.21827411,185.2791878
259,Spectrogram 1,10,12895.87105,12896.90604,90.10152284,186.5482234
260,Spectrogram 1,10,12915.81307,12917.14377,100.2538071,186.5482234
261,Spectrogram 1,10,12918.06786,12919.25071,100.2538071,199.2385787
262,Spectrogram 1,10,13041.7675,13043.35694,69.79695431,262.6903553
263,Spectrogram 1,10,13113.2002,13114.23519,74.87309645,168.7817259
264,Spectrogram 1,10,13142.42015,13143.30728,112.9441624,244.9238579
265,Spectrogram 1,10,13190.58409,13192.2105,79.94923858,199.2385787
266,Spectrogram 1,10,13261.68412,13262.97785,85.02538071,232.2335025
267,Spectrogram 1,10,13320.23491,13321.89828,74.87309645,191.6243655
268,Spectrogram 1,10,13395.43792,13396.80559,95.17766497,275.3807107
269,Spectrogram 1,10,13451.77088,13453.21247,87.56345178,272.8426396
270,Spectrogram 1,10,13519.06363,13520.80093,39.34010152,229.6954315
271,Spectrogram 1,10,13523.53626,13524.64518,29.18781726,191.6243655
272,Spectrogram 1,10,13537.89673,13539.5601,72.33502538,282.9949239
273,Spectrogram 1,10,13574.02892,13575.2857,57.10659898,178.9340102
274,Spectrogram 1,10,13577.87317,13578.87119,92.63959391,201.7766497
275,Spectrogram 1,10,13576.72729,13577.46656,64.72081218,143.4010152
277,Spectrogram 1,10,13633.59622,13635.1487,49.49238579,227.1573604
278,Spectrogram 1,10,13981.57421,13983.05277,64.72081218,293.1472081
279,Spectrogram 1,10,14278.09848,14279.54007,67.25888325,163.7055838
280,Spectrogram 1,10,14313.63925,14314.96995,79.94923858,262.6903553
281,Spectrogram 1,10,14419.70711,14421.40745,92.63959391,217.0050761
282,Spectrogram 1,10,14807.82788,14809.30643,92.63959391,199.2385787
283,Spectrogram 1,10,15500.53104,15501.78781,72.33502538,270.3045685
284,Spectrogram 1,10,16160.50268,16162.27695,44.41624365,252.5380711
286,Spectrogram 1,10,16626.9684,16628.59481,85.02538071,255.0761421
287,Spectrogram 1,10,16837.25593,16838.54966,110.4060914,244.9238579
288,Spectrogram 1,10,16928.92636,16930.36795,41.87817259,194.1624365
289,Spectrogram 1,10,16967.6645,16969.06913,90.10152284,217.0050761
290,Spectrogram 1,10,16998.03033,16998.9914,120.5583756,214.4670051
291,Spectrogram 1,10,17087.42748,17088.61033,82.48730964,184.0101523
292,Spectrogram 1,10,17116.07449,17117.84876,85.02538071,232.2335025
293,Spectrogram 1,10,17125.783,17127.34848,82.03125,171.319797
294,Spectrogram 1,10,17177.39818,17178.51126,91.66666667,279.1975309
295,Spectrogram 1,10,17244.17283,17245.35567,69.79695431,186.5482234
296,Spectrogram 1,10,17247.27779,17248.97813,29.18781726,196.7005076
297,Spectrogram 1,10,17281.63572,17283.18821,72.33502538,244.9238579
298,Spectrogram 1,10,17288.97305,17290.26679,39.34010152,161.1675127
299,Spectrogram 1,10,17310.9296,17312.44512,64.72081218,181.4720812
300,Spectrogram 1,10,17326.54684,17327.58183,92.63959391,252.5380711
301,Spectrogram 1,10,17412.08127,17413.59678,74.87309645,217.0050761
302,Spectrogram 1,10,17477.06377,17478.54233,79.94923858,272.8426396
303,Spectrogram 1,10,17496.784,17498.33649,54.56852792,178.9340102
304,Spectrogram 1,10,17552.5625,17553.93016,72.33502538,262.6903553
305,Spectrogram 1,10,17615.30869,17616.89814,92.63959391,217.0050761
306,Spectrogram 1,10,17630.2421,17631.83155,95.17766497,244.9238579
307,Spectrogram 1,10,17650.99732,17652.58677,87.56345178,204.3147208
308,Spectrogram 1,10,17682.86019,17684.70838,77.41116751,229.6954315
309,Spectrogram 1,10,17773.69893,17774.84481,105.3299492,250
310,Spectrogram 1,10,17820.34735,17821.64108,112.9441624,239.8477157
311,Spectrogram 1,10,17838.84777,17840.14151,112.9441624,222.0812183
312,Spectrogram 1,10,17843.39433,17844.28146,112.9441624,214.4670051
313,Spectrogram 1,10,17845.94484,17847.16465,92.63959391,178.9340102
314,Spectrogram 1,10,17855.5,17856.60892,97.71573604,224.6192893
315,Spectrogram 1,10,18055.91817,18056.95316,97.71573604,166.2436548
316,Spectrogram 1,10,18161.00649,18162.52201,52.03045685,211.928934
317,Spectrogram 1,10,18310.96896,18312.2627,85.02538071,247.4619289
318,Spectrogram 1,10,18350.66817,18352.25762,44.41624365,219.5431472
319,Spectrogram 1,10,18339.37571,18341.33479,49.49238579,242.3857868
320,Spectrogram 1,10,18333.12881,18334.60737,110.4060914,285.5329949
321,Spectrogram 1,10,18637.37853,18638.93101,34.26395939,260.1522843
322,Spectrogram 1,10,19043.63008,19044.92382,41.87817259,161.1675127
323,Spectrogram 1,10,19340.0989,19340.87514,67.25888325,158.6294416
324,Spectrogram 1,10,19436.42678,19438.12712,102.7918782,267.7664975
325,Spectrogram 1,10,19637.5103,19639.32153,85.02538071,293.1472081
326,Spectrogram 1,10,19757.18087,19758.5855,85.02538071,206.8527919
327,Spectrogram 1,10,19868.60849,19870.53062,67.25888325,204.3147208
328,Spectrogram 1,10,19917.14207,19919.4708,77.41116751,277.9187817
329,Spectrogram 1,10,19925.34805,19926.34608,105.3299492,234.7715736
330,Spectrogram 1,10,19970.59185,19971.77469,44.41624365,209.3908629
331,Spectrogram 1,10,20006.98279,20008.27652,100.2538071,255.0761421
332,Spectrogram 1,10,20126.02497,20127.4296,72.33502538,267.7664975
333,Spectrogram 1,10,20128.557,20129.81377,64.72081218,173.857868
334,Spectrogram 1,10,20130.18341,20131.36625,74.87309645,191.6243655
335,Spectrogram 1,10,20176.88728,20178.58761,77.41116751,224.6192893
336,Spectrogram 1,10,20903.67114,20904.92791,77.41116751,204.3147208
337,Spectrogram 1,10,21363.03979,21364.29656,87.56345178,237.3096447
338,Spectrogram 1,10,21428.318,21429.6487,92.63959391,265.2284264
339,Spectrogram 1,10,21432.29162,21433.58536,90.10152284,232.2335025
340,Spectrogram 1,10,21434.47249,21435.39659,107.8680203,255.0761421
341,Spectrogram 1,10,21472.08324,21473.5618,52.03045685,189.0862944
342,Spectrogram 1,10,21489.77046,21490.91634,100.2538071,189.0862944
343,Spectrogram 1,10,21511.22799,21512.48476,57.10659898,204.3147208
344,Spectrogram 1,10,21644.72305,21645.79501,118.0203046,247.4619289
345,Spectrogram 1,10,21629.75268,21630.67678,110.4060914,255.0761421
346,Spectrogram 1,10,22220.28767,22221.32266,74.87309645,229.6954315
347,Spectrogram 1,10,22353.3022,22354.48505,82.48730964,252.5380711
348,Spectrogram 1,10,23718.63713,23720.15265,46.95431472,229.6954315
349,Spectrogram 1,10,23729.98505,23731.38967,72.33502538,206.8527919
350,Spectrogram 1,10,23763.91789,23764.98984,102.7918782,206.8527919
351,Spectrogram 1,10,23997.73293,23999.3963,67.25888325,285.5329949
352,Spectrogram 1,10,24665.17128,24666.50198,72.33502538,204.3147208
353,Spectrogram 1,10,24676.38981,24677.72051,77.41116751,247.4619289
354,Spectrogram 1,10,24726.51284,24727.8805,92.63959391,201.7766497
355,Spectrogram 1,10,24803.74887,24805.19046,85.02538071,244.9238579
356,Spectrogram 1,10,24899.48533,24900.96388,92.63959391,237.3096447
357,Spectrogram 1,10,24901.81405,24903.10779,62.18274112,214.4670051
358,Spectrogram 1,10,24909.6504,24910.90717,74.87309645,232.2335025
359,Spectrogram 1,10,24917.00621,24918.00423,46.95431472,153.5532995
360,Spectrogram 1,10,24952.67636,24953.93313,57.10659898,166.2436548
361,Spectrogram 1,10,25129.01256,25130.08451,112.9441624,191.6243655
362,Spectrogram 1,10,25246.53922,25247.83296,85.02538071,186.5482234
363,Spectrogram 1,10,25611.98265,25613.35031,62.18274112,255.0761421
364,Spectrogram 1,10,25856.49873,25858.01425,67.25888325,242.3857868
365,Spectrogram 1,10,25981.19639,25982.71191,69.79695431,204.3147208
366,Spectrogram 1,10,26036.08776,26037.41845,67.25888325,201.7766497
367,Spectrogram 1,10,26445.81391,26447.07068,72.33502538,219.5431472
368,Spectrogram 1,10,26467.27947,26468.86892,46.95431472,217.0050761
369,Spectrogram 1,10,26741.82871,26743.38119,90.10152284,267.7664975
370,Spectrogram 1,10,26834.29386,26836.06813,57.10659898,211.928934
371,Spectrogram 1,10,27155.28822,27156.50803,69.79695431,224.6192893
372,Spectrogram 1,10,27159.79781,27160.53709,85.02538071,201.7766497
373,Spectrogram 1,10,27161.20244,27161.97868,92.63959391,217.0050761
374,Spectrogram 1,10,27202.50958,27204.17295,85.02538071,214.4670051
375,Spectrogram 1,10,27199.70032,27201.17888,97.71573604,227.1573604
376,Spectrogram 1,10,27242.83717,27244.02002,87.56345178,209.3908629
377,Spectrogram 1,10,27248.89925,27250.00817,77.41116751,201.7766497
378,Spectrogram 1,10,27416.32716,27417.80571,85.02538071,239.8477157
379,Spectrogram 1,10,27699.28568,27701.24477,72.33502538,224.6192893
380,Spectrogram 1,10,28292.51903,28293.92366,62.18274112,206.8527919
381,Spectrogram 1,10,28521.38091,28522.78554,49.49238579,181.4720812
382,Spectrogram 1,10,28493.63952,28494.82236,67.25888325,204.3147208
383,Spectrogram 1,10,28598.91265,28600.24335,54.56852792,227.1573604
384,Spectrogram 1,10,28608.31996,28609.50281,72.33502538,194.1624365
385,Spectrogram 1,10,28616.45202,28617.48701,52.03045685,184.0101523
