Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),SNR,Score
67,Spectrogram 1,10,8554.274125,8555.45697,86.25730994,229.5321637,1.279022,2.041989
68,Spectrogram 1,10,8565.067579,8566.324351,62.86549708,159.3567251,1.126154,1.050303
69,Spectrogram 1,10,8585.009594,8586.746896,51.16959064,168.128655,1.398954,1.643814
70,Spectrogram 1,10,8818.843115,8820.395598,74.56140351,185.6725146,2.187738,2.046266
71,Spectrogram 1,10,8834.700621,8836.031321,54.09356725,179.8245614,3.534461,4.156835
72,Spectrogram 1,10,9087.385722,9088.975169,65.78947368,238.3040936,-0.649065,-0.335377
73,Spectrogram 1,10,9527.736456,9529.10412,80.40935673,214.9122807,0.963089,1.302785
75,Spectrogram 1,10,10869.65477,10871.09636,59.94152047,211.9883041,0.941226,1.551726
76,Spectrogram 1,10,10889.15322,10890.59481,71.6374269,188.5964912,1.342299,2.173788
77,Spectrogram 1,10,10901.20344,10902.38629,74.56140351,191.5204678,2.262459,2.65331
78,Spectrogram 1,10,10921.88473,10923.73293,74.56140351,244.1520468,0.248638,0.603735
79,Spectrogram 1,10,10932.0498,10933.67621,74.56140351,168.128655,-2.357491,1.861894
80,Spectrogram 1,10,11084.65519,11086.13375,59.94152047,261.6959064,0.532763,1.357279
81,Spectrogram 1,10,11293.57506,11294.90576,86.25730994,282.1637427,1.423421,1.77374
82,Spectrogram 1,10,11336.63798,11337.96868,59.94152047,211.9883041,1.41685,1.752922
83,Spectrogram 1,10,11391.82506,11392.78612,77.48538012,209.0643275,1.730039,1.287575
84,Spectrogram 1,10,11503.14179,11504.3616,51.16959064,156.4327485,1.341598,1.164868
85,Spectrogram 1,10,11586.58775,11587.69667,65.78947368,241.2280702,2.07303,2.315672
86,Spectrogram 1,10,11608.52582,11609.74563,51.16959064,162.2807018,6.451092,6.943316
87,Spectrogram 1,10,11636.489,11637.56095,80.40935673,203.2163743,1.657592,1.746778
88,Spectrogram 1,10,11649.99929,11651.14517,74.56140351,194.4444444,5.500718,6.015107
89,Spectrogram 1,10,11685.68792,11686.75988,95.02923977,200.2923977,7.021462,6.299969
90,Spectrogram 1,10,11695.50183,11696.79557,95.02923977,220.7602339,1.012386,1.342577
91,Spectrogram 1,10,11721.76467,11723.05841,86.25730994,197.3684211,1.69296,1.413521
92,Spectrogram 1,10,11738.39842,11739.47037,83.33333333,179.8245614,1.880734,1.68415
93,Spectrogram 1,10,11724.05643,11725.20231,57.01754386,159.3567251,2.54899,2.45576
94,Spectrogram 1,10,11759.33846,11760.66916,83.33333333,182.748538,7.437717,7.318926
95,Spectrogram 1,10,11781.01778,11781.94187,77.48538012,182.748538,8.461592,8.71768
96,Spectrogram 1,10,11799.81391,11800.88586,86.25730994,206.1403509,1.568911,1.972318
97,Spectrogram 1,10,11814.30375,11815.4866,97.95321637,209.0643275,1.1622,1.330464
98,Spectrogram 1,10,11824.52427,11826.29853,42.39766082,165.2046784,8.63257,8.727823
99,Spectrogram 1,10,11865.23998,11866.64461,59.94152047,165.2046784,3.446603,2.960145
100,Spectrogram 1,10,11871.32054,11873.02088,39.47368421,156.4327485,-2.312043,0.988376
101,Spectrogram 1,10,11908.8204,11910.1511,106.7251462,229.5321637,-4.211089,0.043098
102,Spectrogram 1,10,11940.70175,11941.55192,65.78947368,191.5204678,-1.017706,2.966848
103,Spectrogram 1,10,12036.10553,12037.73194,51.16959064,244.1520468,1.194985,1.184517
104,Spectrogram 1,10,12241.60624,12242.67819,83.33333333,179.8245614,5.475311,5.990795
105,Spectrogram 1,10,12467.47404,12468.76778,80.40935673,217.8362573,1.791782,2.822749
106,Spectrogram 1,10,12610.33945,12611.92889,74.56140351,241.2280702,0.965483,1.699753
107,Spectrogram 1,10,12844.89376,12846.22446,83.33333333,217.8362573,1.604199,1.682071
108,Spectrogram 1,10,13456.47968,13457.69949,115.497076,235.380117,3.942129,3.419365
109,Spectrogram 1,10,13607.58804,13609.21445,65.78947368,197.3684211,2.003549,1.887854
110,Spectrogram 1,10,13634.18355,13635.73603,45.32163743,241.2280702,8.048455,7.306066
111,Spectrogram 1,10,13619.61978,13620.83959,51.16959064,220.7602339,0.806849,1.178094
112,Spectrogram 1,10,13678.54021,13680.05573,77.48538012,314.3274854,1.982189,2.074927
113,Spectrogram 1,10,13701.51326,13702.51129,89.18128655,209.0643275,0.810088,3.003821
114,Spectrogram 1,10,13758.21586,13759.43567,71.6374269,182.748538,4.64015,10.794409
115,Spectrogram 1,10,13784.29388,13785.47672,92.10526316,226.6081871,7.366271,8.643239
116,Spectrogram 1,10,13783.5546,13784.40477,97.95321637,185.6725146,-2.253848,4.326189
117,Spectrogram 1,10,13789.37641,13790.59622,71.6374269,182.748538,2.928221,2.933328
118,Spectrogram 1,10,14007.74055,14009.14517,159.3567251,244.1520468,0.718257,2.901518
119,Spectrogram 1,10,14076.88149,14078.17523,97.95321637,211.9883041,1.494331,1.846055
120,Spectrogram 1,10,14138.42635,14139.75705,97.95321637,276.3157895,2.493788,3.464458
121,Spectrogram 1,10,14226.27102,14227.45387,103.8011696,214.9122807,1.295241,2.550226
122,Spectrogram 1,10,14214.96007,14216.32774,62.86549708,203.2163743,2.85411,2.557479
123,Spectrogram 1,10,14321.78569,14322.93157,83.33333333,220.7602339,1.292197,1.586756
124,Spectrogram 1,10,14334.51975,14335.55474,92.10526316,197.3684211,4.130868,4.257651
125,Spectrogram 1,10,14378.80248,14379.9114,77.48538012,217.8362573,-1.51567,5.02073
126,Spectrogram 1,10,14397.6171,14398.9478,68.71345029,194.4444444,2.142559,2.262522
127,Spectrogram 1,10,14407.20923,14408.83564,92.10526316,232.4561404,3.938852,4.386734
128,Spectrogram 1,10,14476.8307,14478.05051,83.33333333,209.0643275,3.197974,2.769377
129,Spectrogram 1,10,14481.636,14483.04063,95.02923977,244.1520468,0.158354,-0.056352
130,Spectrogram 1,10,14517.95302,14519.17283,71.6374269,206.1403509,4.11454,3.704959
131,Spectrogram 1,10,14513.96092,14515.36555,106.7251462,209.0643275,1.146691,0.209016
132,Spectrogram 1,10,14534.12472,14535.08578,83.33333333,209.0643275,6.159247,6.435644
133,Spectrogram 1,10,14549.33536,14550.25945,92.10526316,206.1403509,5.037437,5.999526
134,Spectrogram 1,10,14559.16775,14560.35059,97.95321637,232.4561404,-2.248645,4.40231
135,Spectrogram 1,10,14569.25889,14570.70048,62.86549708,226.6081871,-15.709857,0.533749
136,Spectrogram 1,10,14566.07999,14567.26284,54.09356725,171.0526316,-9.351636,0.951629
137,Spectrogram 1,10,14581.40152,14582.6583,54.09356725,211.9883041,-8.572916,2.014138
138,Spectrogram 1,10,14602.37853,14603.82012,62.86549708,229.5321637,-7.354575,0.887038
139,Spectrogram 1,10,14662.92537,14664.10821,83.33333333,194.4444444,-0.072502,0.482253
140,Spectrogram 1,10,14667.13925,14668.54388,68.71345029,235.380117,2.182258,2.419695
141,Spectrogram 1,10,14698.00409,14699.07604,65.78947368,206.1403509,-3.886837,6.342791
142,Spectrogram 1,10,14695.15787,14696.41464,62.86549708,194.4444444,-5.158198,6.058583
143,Spectrogram 1,10,14724.11907,14725.70852,45.32163743,232.4561404,7.207554,6.145514
144,Spectrogram 1,10,14749.1621,14750.4928,42.39766082,203.2163743,5.557823,6.091894
145,Spectrogram 1,10,14752.89546,14754.15223,71.6374269,173.9766082,2.915828,5.026148
146,Spectrogram 1,10,14802.57492,14803.75776,83.33333333,209.0643275,2.515211,2.63134
147,Spectrogram 1,10,14803.86865,14804.9406,100.877193,214.9122807,-0.423237,1.149245
148,Spectrogram 1,10,14916.81179,14917.95767,103.8011696,267.5438596,6.839605,6.290073
149,Spectrogram 1,10,14928.52935,14929.71219,51.16959064,203.2163743,1.595199,1.314795
150,Spectrogram 1,10,14996.2287,14997.18976,86.25730994,197.3684211,1.918923,0.564314
151,Spectrogram 1,10,15026.5206,15028.07308,65.78947368,226.6081871,1.119477,1.107488
152,Spectrogram 1,10,15096.99224,15098.69258,103.8011696,211.9883041,-5.815744,1.389774
153,Spectrogram 1,10,15134.73236,15135.80432,95.02923977,203.2163743,3.805031,4.854043
154,Spectrogram 1,10,15137.94822,15139.05714,95.02923977,220.7602339,2.85554,2.728027
155,Spectrogram 1,10,15251.16859,15252.3884,71.6374269,211.9883041,2.018748,1.58746
156,Spectrogram 1,10,15345.87006,15347.31165,127.1929825,255.8479532,-5.67805,2.448965
157,Spectrogram 1,10,15404.6796,15405.82548,112.5730994,250,0.30821,1.348493
158,Spectrogram 1,10,15562.97743,15564.2342,97.95321637,203.2163743,1.679208,1.681809
159,Spectrogram 1,10,15578.70556,15579.99929,95.02923977,194.4444444,1.375449,1.219583
160,Spectrogram 1,10,15656.34819,15657.42015,80.40935673,206.1403509,3.001154,2.879746
161,Spectrogram 1,10,15793.31786,15794.20499,36.5497076,156.4327485,1.937775,1.742232
162,Spectrogram 1,10,15901.8623,15903.15604,36.5497076,191.5204678,1.822665,0.882653
163,Spectrogram 1,10,15947.40181,15948.73251,83.33333333,261.6959064,-12.310114,2.159446
164,Spectrogram 1,10,16152.32957,16153.77116,86.25730994,270.4678363,0.658499,1.597815
165,Spectrogram 1,10,16305.9145,16306.91253,59.94152047,168.128655,9.053765,9.221451
166,Spectrogram 1,10,17255.79388,17257.23547,48.24561404,182.748538,2.852615,2.214129
167,Spectrogram 1,10,17341.27286,17342.41874,97.95321637,179.8245614,-6.853836,3.785515
168,Spectrogram 1,10,17550.80262,17552.24422,71.6374269,171.0526316,1.935199,1.71239
169,Spectrogram 1,10,17670.14052,17671.24944,62.86549708,182.748538,1.65563,2.06206
170,Spectrogram 1,10,17910.16549,17911.60708,45.32163743,229.5321637,0.657504,0.813168
171,Spectrogram 1,10,17914.73053,17915.87641,92.10526316,211.9883041,3.575629,3.805542
172,Spectrogram 1,10,17935.7445,17936.81645,83.33333333,185.6725146,3.320026,3.876082
173,Spectrogram 1,10,17939.44089,17941.10426,77.48538012,171.0526316,0.365939,0.338824
174,Spectrogram 1,10,17965.37105,17966.81264,100.877193,250,-8.147492,1.367114
175,Spectrogram 1,10,18027.02681,18028.80107,51.16959064,171.0526316,1.645503,1.96761
176,Spectrogram 1,10,18087.37034,18088.70104,83.33333333,209.0643275,1.129188,1.270942
177,Spectrogram 1,10,18366.35525,18367.61202,74.56140351,235.380117,1.917348,2.355625
178,Spectrogram 1,10,18372.12161,18373.52624,59.94152047,147.6608187,3.817692,3.937182
179,Spectrogram 1,10,18418.73307,18419.87895,77.48538012,220.7602339,0.630545,2.769791
180,Spectrogram 1,10,18423.68623,18425.12782,135.9649123,229.5321637,1.43573,1.823414
181,Spectrogram 1,10,18456.76891,18458.13657,57.01754386,188.5964912,-7.67872,1.933494
182,Spectrogram 1,10,18483.14264,18484.58423,62.86549708,197.3684211,-5.760664,1.867172
183,Spectrogram 1,10,18488.28062,18490.20274,77.48538012,197.3684211,7.899809,8.659108
184,Spectrogram 1,10,18523.93228,18524.85638,62.86549708,185.6725146,12.898206,12.639471
185,Spectrogram 1,10,18591.26199,18592.4818,80.40935673,185.6725146,4.11291,5.095747
186,Spectrogram 1,10,18598.39602,18599.80065,62.86549708,176.9005848,5.051767,7.10854
187,Spectrogram 1,10,18587.71346,18588.41577,77.48538012,203.2163743,-10.380078,4.377557
188,Spectrogram 1,10,18608.06208,18609.4667,92.10526316,200.2923977,0.650127,0.347144
189,Spectrogram 1,10,18694.39122,18695.42621,57.01754386,194.4444444,10.535938,11.02489
190,Spectrogram 1,10,18732.75973,18733.7208,89.18128655,197.3684211,3.003894,2.519062
191,Spectrogram 1,10,18787.94681,18789.01876,95.02923977,182.748538,-0.697246,0.116166
192,Spectrogram 1,10,18909.94611,18911.09199,74.56140351,191.5204678,0.396723,1.300322
193,Spectrogram 1,10,18981.26792,18982.48773,86.25730994,235.380117,-7.868078,3.922443
194,Spectrogram 1,10,19045.41874,19047.04515,51.16959064,173.9766082,14.389156,13.601002
196,Spectrogram 1,10,19063.43863,19064.80629,59.94152047,150.5847953,7.712779,7.007402
197,Spectrogram 1,10,19096.46586,19097.75959,86.25730994,223.6842105,0.262414,5.937913
198,Spectrogram 1,10,19102.49097,19104.37613,57.01754386,220.7602339,-0.312061,7.835849
199,Spectrogram 1,10,19124.94653,19126.49901,100.877193,235.380117,-9.628589,0.289043
200,Spectrogram 1,10,19279.78823,19281.19286,42.39766082,171.0526316,12.009397,10.919319
201,Spectrogram 1,10,19283.63248,19285.59156,68.71345029,247.0760234,-7.103471,9.920246
202,Spectrogram 1,10,19311.29994,19312.63064,51.16959064,247.0760234,8.108993,10.315924
203,Spectrogram 1,10,19317.97192,19319.04388,71.6374269,188.5964912,9.539965,10.230278
204,Spectrogram 1,10,19358.46586,19359.98138,62.86549708,176.9005848,6.960167,6.623122
205,Spectrogram 1,10,19365.2435,19366.2675,97.65625,202.51385,0.942616,2.484622
206,Spectrogram 1,10,19366.65336,19367.79924,92.10526316,214.9122807,2.696023,4.406834
207,Spectrogram 1,10,19426.83056,19427.82858,109.6491228,217.8362573,-10.008465,0.974154
208,Spectrogram 1,10,19479.92918,19480.89024,127.1929825,211.9883041,0.941633,2.073639
209,Spectrogram 1,10,19484.84537,19486.69357,89.18128655,288.0116959,3.028331,3.349971
210,Spectrogram 1,10,19494.41902,19495.82365,65.78947368,250,5.002024,5.916063
211,Spectrogram 1,10,19505.39729,19506.87585,95.02923977,244.1520468,-9.108761,0.365942
212,Spectrogram 1,10,19598.36146,19599.65519,39.47368421,238.3040936,6.057601,6.650811
213,Spectrogram 1,10,19637.50621,19638.35638,92.10526316,185.6725146,5.180409,5.493213
214,Spectrogram 1,10,19692.39757,19693.65435,89.18128655,247.0760234,2.267173,2.231477
215,Spectrogram 1,10,19697.23984,19698.7184,62.86549708,247.0760234,22.332341,22.513554
216,Spectrogram 1,10,19721.50663,19723.05911,68.71345029,229.5321637,14.401774,16.30852
217,Spectrogram 1,10,19706.35144,19707.79303,83.33333333,261.6959064,1.482788,0.969755
218,Spectrogram 1,10,19740.6724,19741.85525,65.78947368,250,14.94898,14.997289
219,Spectrogram 1,10,19758.39659,19759.61639,68.71345029,220.7602339,15.497551,16.235494
220,Spectrogram 1,10,19777.87655,19779.0594,86.25730994,235.380117,17.9241,18.002096
221,Spectrogram 1,10,19793.41986,19794.78753,83.33333333,226.6081871,1.215928,1.454443
222,Spectrogram 1,10,19839.62472,19840.91845,71.6374269,211.9883041,5.73874,5.50976
223,Spectrogram 1,10,19829.27483,19831.01213,51.16959064,171.0526316,22.876529,22.798251
224,Spectrogram 1,10,19824.13685,19825.54148,162.2807018,317.251462,11.69105,10.580996
225,Spectrogram 1,10,19817.35398,19818.53682,65.78947368,200.2923977,18.438375,17.972735
226,Spectrogram 1,10,19882.90942,19884.38798,86.25730994,241.2280702,24.16602,24.035595
227,Spectrogram 1,10,19917.67396,19919.11555,57.01754386,209.0643275,22.728314,22.639176
228,Spectrogram 1,10,19925.38093,19926.48984,68.71345029,176.9005848,1.511723,1.010444
229,Spectrogram 1,10,19977.05643,19978.97856,33.62573099,185.6725146,23.622766,23.76255
230,Spectrogram 1,10,20027.43821,20028.65801,83.33333333,235.380117,5.843925,5.787217
231,Spectrogram 1,10,20032.90886,20033.86992,118.4210526,244.1520468,2.492863,2.062057
232,Spectrogram 1,10,20074.12359,20075.71304,112.5730994,285.0877193,0.451543,1.061319
233,Spectrogram 1,10,20161.37683,20162.81843,77.48538012,226.6081871,1.734083,1.618938
234,Spectrogram 1,10,20188.00931,20189.48787,74.56140351,203.2163743,-8.175249,2.137891
235,Spectrogram 1,10,20320.67269,20321.7816,95.02923977,200.2923977,-8.017492,4.344231
236,Spectrogram 1,10,20348.45104,20349.81871,57.01754386,173.9766082,12.257603,12.404491
237,Spectrogram 1,10,20400.01566,20401.3094,80.40935673,173.9766082,10.660822,10.905817
238,Spectrogram 1,10,20427.01778,20428.38544,80.40935673,211.9883041,5.575347,5.541993
239,Spectrogram 1,10,20568.25677,20569.58747,39.47368421,197.3684211,4.393029,3.886508
240,Spectrogram 1,10,20619.5996,20621.4478,83.33333333,209.0643275,2.41546,2.220298
241,Spectrogram 1,10,20615.82929,20617.08606,59.94152047,176.9005848,0.958054,1.40433
242,Spectrogram 1,10,20742.11639,20742.9296,100.877193,206.1403509,0.896521,1.377759
243,Spectrogram 1,10,20791.72192,20792.75691,103.8011696,226.6081871,6.165086,6.380823
244,Spectrogram 1,10,20838.66606,20839.81194,95.02923977,203.2163743,2.44931,2.256519
245,Spectrogram 1,10,20855.07802,20855.96515,103.8011696,200.2923977,0.813167,1.628861
246,Spectrogram 1,10,20872.50649,20873.57844,80.40935673,209.0643275,1.495352,1.695006
247,Spectrogram 1,10,20877.94018,20878.86428,86.25730994,209.0643275,3.126572,3.034174
248,Spectrogram 1,10,20894.44455,20895.66436,86.25730994,206.1403509,2.637325,2.699741
249,Spectrogram 1,10,20960.22178,20961.07195,80.40935673,173.9766082,0.883705,1.64913
250,Spectrogram 1,10,21025.13036,21026.23928,48.24561404,206.1403509,1.159456,1.635223
251,Spectrogram 1,10,21037.6796,21038.64066,59.94152047,168.128655,6.991672,7.415388
252,Spectrogram 1,10,21042.33705,21043.66775,95.02923977,214.9122807,1.452556,1.520655
253,Spectrogram 1,10,21074.625,21075.80784,109.6491228,214.9122807,1.20016,1.254766
254,Spectrogram 1,10,21065.3101,21066.52991,83.33333333,220.7602339,1.142426,0.836097
255,Spectrogram 1,10,21070.41112,21071.74182,100.877193,244.1520468,0.818376,1.578087
256,Spectrogram 1,10,21081.74055,21082.99732,121.3450292,226.6081871,2.465227,1.822396
257,Spectrogram 1,10,21123.56518,21124.6741,51.16959064,203.2163743,3.508554,3.092061
258,Spectrogram 1,10,21191.63417,21193.07576,77.48538012,220.7602339,2.587834,2.47214
259,Spectrogram 1,10,21228.8568,21230.07661,74.56140351,235.380117,2.61296,2.799803
260,Spectrogram 1,10,21251.18299,21252.25494,109.6491228,214.9122807,1.591503,1.55683
261,Spectrogram 1,10,21271.67946,21272.97319,83.33333333,220.7602339,3.257705,3.192865
262,Spectrogram 1,10,21254.82393,21256.04374,124.2690058,235.380117,0.947976,1.21169
263,Spectrogram 1,10,21256.37641,21257.37444,89.18128655,176.9005848,0.488718,0.756967
264,Spectrogram 1,10,21287.18581,21288.25776,89.18128655,185.6725146,1.998651,1.621339
265,Spectrogram 1,10,21342.77949,21344.22108,92.10526316,220.7602339,-4.584268,3.401227
266,Spectrogram 1,10,21373.29317,21374.2912,95.02923977,232.4561404,-10.895732,2.734819
267,Spectrogram 1,10,21376.37966,21377.5625,77.48538012,179.8245614,-3.082595,2.264959
268,Spectrogram 1,10,21402.79035,21403.78837,92.10526316,194.4444444,1.201306,1.628158
269,Spectrogram 1,10,21424.80234,21426.31786,59.94152047,232.4561404,3.068727,3.041111
270,Spectrogram 1,10,21510.5031,21512.01862,86.25730994,255.8479532,2.701679,3.103436
271,Spectrogram 1,10,21580.45725,21581.67706,89.18128655,214.9122807,1.798795,1.93391
272,Spectrogram 1,10,21605.98081,21607.64419,83.33333333,261.6959064,5.627152,5.490292
273,Spectrogram 1,10,21634.72023,21635.82915,89.18128655,226.6081871,1.913421,2.365152
274,Spectrogram 1,10,21644.27347,21645.19926,76.54320988,204.9382716,2.399678,2.169355
275,Spectrogram 1,10,21731.93524,21733.30291,54.09356725,235.380117,7.97414,7.932581
276,Spectrogram 1,10,21849.94244,21851.3101,62.86549708,264.619883,8.090834,8.51784
277,Spectrogram 1,10,21855.04345,21855.93059,86.25730994,217.8362573,3.159729,3.193607
278,Spectrogram 1,10,22173.13615,22174.13417,77.48538012,217.8362573,3.002517,3.361747
279,Spectrogram 1,10,22202.39306,22203.53894,124.2690058,244.1520468,3.649665,3.884301
280,Spectrogram 1,10,22229.94963,22231.35426,62.86549708,197.3684211,1.259897,1.402741
281,Spectrogram 1,10,22347.73505,22348.88093,62.86549708,188.5964912,1.058944,1.287995
282,Spectrogram 1,10,22365.27441,22366.53118,135.9649123,235.380117,1.136479,1.168151
283,Spectrogram 1,10,22429.62853,22431.14405,124.2690058,270.4678363,0.553673,0.920382
284,Spectrogram 1,10,22463.2287,22464.52243,95.02923977,191.5204678,-0.061846,0.171945
285,Spectrogram 1,10,22492.33775,22493.89024,77.48538012,244.1520468,0.542756,0.570676
286,Spectrogram 1,10,22577.5395,22579.05502,71.6374269,226.6081871,1.446714,2.227598
287,Spectrogram 1,10,22617.2572,22618.73575,68.71345029,206.1403509,0.534676,0.770694
288,Spectrogram 1,10,22746.05784,22747.5364,86.25730994,270.4678363,0.7869,-0.086671
289,Spectrogram 1,10,22789.12077,22790.26665,77.48538012,194.4444444,2.826638,2.105839
290,Spectrogram 1,10,22792.11484,22793.37161,92.10526316,255.8479532,1.911798,1.618549
291,Spectrogram 1,10,22813.53541,22814.64433,77.48538012,211.9883041,1.177922,0.750887
292,Spectrogram 1,10,22817.93411,22819.19089,89.18128655,252.9239766,0.817213,1.352411
293,Spectrogram 1,10,22973.27483,22974.97517,95.02923977,226.6081871,9.319133,9.58423
294,Spectrogram 1,10,23083.4272,23084.53612,89.18128655,194.4444444,2.550775,2.303526
295,Spectrogram 1,10,23102.85172,23104.62599,86.25730994,279.2397661,8.137792,9.18932
296,Spectrogram 1,10,23158.18665,23159.51735,54.09356725,197.3684211,1.343068,1.392807
297,Spectrogram 1,10,23244.27554,23245.53231,83.33333333,194.4444444,0.819575,0.985502
298,Spectrogram 1,10,23313.61978,23315.39405,54.09356725,250,12.972252,13.512131
299,Spectrogram 1,10,23382.20626,23383.13036,83.33333333,191.5204678,1.15535,0.980143
